text,risk_score,risk_level,violations,threats,explanation,related_policies,policy_similarities,processing_time,timestamp
"다음 주 퇴사하는데, 반도체 설계도 USB에 백업해두려고 합니다.",100.0,CRITICAL,"['POL-013', 'POL-036', 'POL-025']","['내부자 위협 - 퇴사', '외부 반출', '기밀 설계도 유출']","3개 위협 탐지 | 3개 정책 위반 | 주요 키워드: 퇴사, USB, 설계도 | 평균 정책 유사도: 0.39","['POL-013', 'POL-036', 'POL-025']","{'POL-013': 0.394771671295166, 'POL-036': 0.39174884259700776, 'POL-025': 0.37153948605060577}",0.256683,2025-10-21T11:49:46.669414
고객 개인정보 1만 건을 개인 이메일로 전송했습니다.,93.4,CRITICAL,"['POL-002', 'POL-006', 'POL-033']","['개인정보 침해', '외부 전송 위험']","2개 위협 탐지 | 3개 정책 위반 | 주요 키워드: 개인정보, 이메일 | 평균 정책 유사도: 0.35","['POL-002', 'POL-006', 'POL-033']","{'POL-002': 0.38345028758049005, 'POL-006': 0.3397833466529846, 'POL-033': 0.31379426717758174}",0.211707,2025-10-21T11:49:46.625774
협력업체와 배터리 배합비 공유하는데 NDA 안 맺었어요.,48.1,HIGH,"['POL-018', 'POL-001']",[],2개 정책 위반 | 평균 정책 유사도: 0.33,"['POL-018', 'POL-001', 'POL-036']","{'POL-018': 0.4099633991718292, 'POL-001': 0.3006850983415331, 'POL-036': 0.27283340990543364}",0.220722,2025-10-21T11:49:46.636260
일반 업무 보고서 작성했습니다.,45.0,HIGH,"['POL-030', 'POL-019', 'POL-010']",[],3개 정책 위반 | 평균 정책 유사도: 0.30,"['POL-030', 'POL-019', 'POL-010']","{'POL-030': 0.307975280880928, 'POL-019': 0.30193221032619477, 'POL-010': 0.29090906381607057}",0.168264,2025-10-21T11:49:46.584759
경쟁사로 이직하는데 고객 리스트 가져가도 되나요?,93.0,CRITICAL,['POL-003'],"['내부자 위협 - 이직', '정보 유출 위험']","2개 위협 탐지 | 1개 정책 위반 | 주요 키워드: 이직, 경쟁사 | 평균 정책 유사도: 0.33","['POL-004', 'POL-003', 'POL-011']","{'POL-004': 0.3973853051662445, 'POL-003': 0.32283968542303354, 'POL-011': 0.2681414425373077}",0.174981,2025-10-21T11:49:46.592356
회사 회계 자료를 외부 구글 드라이브로 공유했습니다.,18.5,LOW,['POL-017'],[],1개 정책 위반 | 평균 정책 유사도: 0.34,"['POL-017', 'POL-038', 'POL-006']","{'POL-017': 0.4286143183708191, 'POL-038': 0.2983284443616867, 'POL-006': 0.2961919218301773}",0.175595,2025-10-21T11:49:46.760983
퇴사 예정자가 대량 다운로드를 시도했습니다.,85.5,CRITICAL,['POL-003'],"['내부자 위협 - 퇴사', '데이터 반출']","2개 위협 탐지 | 1개 정책 위반 | 주요 키워드: 퇴사, 다운로드 | 평균 정책 유사도: 0.36","['POL-003', 'POL-005', 'POL-041']","{'POL-003': 0.43704262886728557, 'POL-005': 0.3284980684518814, 'POL-041': 0.3138951182365417}",0.183781,2025-10-21T11:49:46.777174
R&D 핵심 기술 문서를 메신저로 전송했습니다.,63.0,CRITICAL,['POL-033'],"['연구개발 자료 유출', '외부 전송 위험']","2개 위협 탐지 | 1개 정책 위반 | 주요 키워드: R&D, 메신저 | 평균 정책 유사도: 0.33","['POL-033', 'POL-028', 'POL-022']","{'POL-033': 0.39065139591693876, 'POL-028': 0.3040944308042526, 'POL-022': 0.2847568720579147}",0.160214,2025-10-21T11:49:46.788430
고객사 담당자 연락처를 엑셀로 정리했습니다.,0.0,LOW,[],[],평균 정책 유사도: 0.32,"['POL-011', 'POL-035', 'POL-045']","{'POL-011': 0.338146071434021, 'POL-035': 0.31894352912902835, 'POL-045': 0.30681898176670075}",0.152993,2025-10-21T11:49:46.793863
신제품 출시 전략을 협력사와 논의했습니다.,0.0,LOW,[],[],평균 정책 유사도: 0.19,"['POL-050', 'POL-044', 'POL-022']","{'POL-050': 0.21014925241470336, 'POL-044': 0.1854227602481842, 'POL-022': 0.1853306144475937}",0.114117,2025-10-21T11:49:46.791738
